Name,Expression,Time
Speaker,Sad,[16720.0]
Speaker,Happy,[16760.0]
Speaker,Sad,[16760.0]
Speaker,Sad,[16760.0]
Speaker,Happy,[16800.0]
Speaker,Sad,[16800.0]
Speaker,Sad,[16800.0]
Speaker,Happy,[16840.0]
Speaker,Sad,[16840.0]
Speaker,Sad,[16840.0]
Speaker,Happy,[16880.0]
Speaker,Sad,[16880.0]
Speaker,Sad,[16880.0]
Speaker,Happy,[16920.0]
Speaker,Sad,[16920.0]
Speaker,Sad,[16920.0]
Speaker,Happy,[16960.0]
Speaker,Sad,[16960.0]
Speaker,Sad,[16960.0]
Speaker,Sad,[17000.0]
Speaker,Happy,[17000.0]
Speaker,Sad,[17000.0]
Speaker,Happy,[17040.0]
Speaker,Sad,[17040.0]
Speaker,Sad,[17040.0]
Speaker,Sad,[17080.000000000004]
Speaker,Sad,[17080.000000000004]
Speaker,Happy,[17080.000000000004]
Speaker,Happy,[17120.0]
Speaker,Sad,[17120.0]
Speaker,Sad,[17120.0]
Speaker,Happy,[17160.0]
Speaker,Sad,[17160.0]
Speaker,Sad,[17160.0]
Speaker,Happy,[17200.0]
Speaker,Sad,[17200.0]
Speaker,Sad,[17200.0]
Speaker,Sad,[17240.000000000004]
Speaker,Happy,[17240.000000000004]
Speaker,Sad,[17240.000000000004]
Speaker,Surprise,[17280.0]
Speaker,Sad,[17280.0]
Speaker,Sad,[17320.0]
Speaker,Surprise,[17320.0]
Speaker,Surprise,[17360.0]
Speaker,Sad,[17360.0]
Speaker,Neutral,[17400.000000000004]
Speaker,Sad,[17400.000000000004]
Speaker,Neutral,[17440.0]
Speaker,Sad,[17440.0]
Speaker,Neutral,[17480.0]
Speaker,Sad,[17480.0]
Speaker,Neutral,[17520.0]
Speaker,Sad,[17520.0]
Speaker,Neutral,[17560.0]
Speaker,Neutral,[17600.0]
Speaker,Sad,[17600.0]
Speaker,Sad,[17640.0]
Speaker,Happy,[17640.0]
